관측소,주소,경도,위도,조사년도,암반층관측정수위,암반층관측정표고,암반층관측정심도,충적층관측정수위,충적층관측정표고,충적층관측정심도
나주왕곡,전남 나주시 왕곡면 장산리 729,126.7036742,34.97943029,2016,5.99,9.526,3.536,-,-,-
남양주별내,경기 남양주시 별내면 광전리 118-5,127.1233622,37.70221833,2016,58.9,63.34,4.44,59.05,63.39,4.34
남원도통,전북 남원시 도통동 554,127.4003212,35.41967454,2016,105.55,108.33,2.78,105.54,108.29,2.75
남원사매,전북 남원시 사매면 대신리 199,127.3766815,35.48157037,2016,132.56,137.76,5.2,-,-,-
남원이백,전북 남원시 이백면 강기리 180-2,127.469607,35.45217766,2016,210.6,211.987,1.387,-,-,-
남해남해,경남 남해군 남해읍 아산리 1053-2,127.8830737,34.84307412,2016,81.34,90.49,9.15,-,-,-
논산광석,충남 논산시 광석면 천동리 40-5,127.0973784,36.23158859,2016,-2.7,8.96,11.66,-,-,-
논산상월,충남 논산시 상월면 주곡리 153-3,127.1470782,36.28083988,2016,19.14,22.01,2.87,-,-,-
단양단양,충북 단양군 단양읍 천동리 380-16,128.4204406,36.96448326,2016,317.36,320.43,3.07,-,-,-
담양금성,전남 담양군 금성면 대곡리 91-1,127.0313495,35.32318017,2016,67.07,69.83,2.76,-,-,-
담양담양,전남 담양군 담양읍 천변리 401-1,126.9766497,35.30953215,2016,41.5,44.88,3.38,-,-,-
당진당진,충남 당진시 당진읍 원당리 484-1,126.6490761,36.91346343,2016,9.93,12.56,2.63,-,-,-
당진석문,충남 당진시 석문면 통정리 631-2,126.5886863,36.98510908,2016,8.01,11,2.99,-,-,-
당진순성,충남 당진시 순성면 광천리 198-17,126.7172132,36.84063705,2016,13.01,17.9,4.89,13.29,17.9,4.61
대구가창,대구 달성군 가창면 옥분리 778-8,128.6502283,35.75205134,2016,162,165.41,3.41,162.04,165.39,3.35
대구대봉,대구 중구 대봉동 31-30,128.6064071,35.85956375,2016,26.17,35.66,9.49,-,-,-
대구비산,대구 서구 비산동 3048,128.5418885,35.88397114,2016,17.1,25.63,8.53,19.01,25.65,6.64
대구현풍,대구 달성군 현풍면 성하리 725-15,128.4355149,35.69671774,2016,13.6,18.46,4.86,-,-,-
대전문평,대전 대덕구 문평동 69-1,127.4024593,36.4509647,2016,21.44,29.59,8.15,21.25,29.57,8.32
대전태평,대전 중구 태평동 510-162,127.3864514,36.31845088,2016,44.49,52.99,8.5,-,-,-
동두천상패,경기 동두천시 상패동 122,127.0426744,37.90463564,2016,55.01,61.23,6.22,-,-,-
동해귀운,강원 동해시 귀운동 152-2,129.0933584,37.48045335,2016,6.61,13.96,7.35,6.54,13.96,7.42
마산진전,경남 창원시 마산합포구 진전면 오서리 892,128.4094157,35.10409772,2016,18.78,22.56,3.78,-,-,-
마산합성,경남 창원시 마산회원구 합성동 45-10,128.5918779,35.24164592,2016,15.8,31.542,15.742,-,-,-
목포용당,전남 목포시 용당동 846,126.3927318,34.81238084,2016,18.3,24.43,6.13,-,-,-
무안몽탄,전남 무안군 몽탄면 명산리 786,126.5260672,34.8931261,2016,0.19,3.51,3.32,-,-,-
무안무안,전남 무안군 무안읍 성암리 574,126.4924793,34.97718088,2016,20.19,31.62,11.43,-,-,-
무안일로,전남 무안군 일로읍 복룡리 445-1,126.5254378,34.87193322,2016,2.78,5.21,2.43,-,-,-
무안해제,전남 무안군 해제면 광산리 152-10,126.2861076,35.09649731,2016,5.29,14.42,9.13,-,-,-
무주무주,전북 무주군 무주읍 당산리 산3-2,127.6488596,35.99424281,2016,209.3,234.56,25.26,-,-,-
무주무풍,전북 무주군 무풍면 금평리 2277,127.8743052,35.95718734,2016,449.94,453.48,3.54,-,-,-
문경농암,경북 문경시 농암면 종곡리 536-1,128.0044232,36.59443776,2016,169.85,175.31,5.46,170.53,175.33,4.8
문경문경,경북 문경시 문경읍 팔영리 694,128.1430379,36.74542775,2016,185.24,188.58,3.34,184.93,188.59,3.66
문경영순,경북 문경시 영순면 의곡리 22-3,128.2359112,36.58202264,2016,102.74,105.375,2.635,-,-,-
밀양가곡,경남 밀양시 가곡동 651-12,128.7645607,35.47865811,2016,3.93,9.22,5.29,6.86,9.22,2.36
밀양단장,경남 밀양시 단장면 고례리 1601,128.9287918,35.4871462,2016,120.96,132.787,11.827,-,-,-
밀양하남,경남 밀양시 하남읍 수산리 130-2,128.7365759,35.36228043,2016,-2.26,10.67,12.93,-1.93,10.64,12.57
보령웅천,충청남도 보령시 웅천읍 성동리 1222-89,126.6258471,36.25090342,2016,14.75,17.54,2.79,-,-,-
보령청라,충남 보령시 청라면 내현리 519-4,126.662261,36.39168628,2016,50.26,54.89,4.63,50.22,54.85,4.63
보령청소,충남 보령시 청소면 야현리 644-16,126.5935973,36.44155,2016,14.46,16.03,1.57,14.47,16.1,1.63
보성겸백,전남 보성군 겸백면 석호리 449-6,127.1520139,34.82856737,2016,115.45,120.65,5.2,-,-,-
보성벌교,전남 보성군 벌교읍 연산리 456-6,127.3403322,34.86042767,2016,7.97,13.79,5.82,-,-,-
보은마로,충북 보은군 마로면 오천리 683,127.802844,36.39930547,2016,125.37,129.31,3.94,125.49,129.32,3.83
보은보은,충북 보은군 보은읍 장신리 135-9,127.7134122,36.48421935,2016,150.32,154.4,4.08,150.36,154.4,4.04
보은회인,충북 보은군 회인면 죽암리 193-1,127.5958461,36.47095362,2016,95.28,108.84,13.56,-,-,-
봉화명호,경북 봉화군 명호면 도천리 산376,128.9021795,36.85872023,2016,196.93,204.21,7.28,196.98,204.21,7.23
봉화재산,경북 봉화군 재산면 현동리 1683-1,128.9632698,36.81352848,2016,309.68,311.74,2.06,-,-,-
부산덕천,부산 북구 덕천동 723,129.0028652,35.21279186,2016,-7.37,5.42,12.79,-,-,-
부산동대신,부산 서구 동대신동 2가 98,129.0276596,35.11359983,2016,106.67,141.28,34.61,-,-,-
부산장안,부산 기장군 장안읍 장안리 387,129.2475602,35.36780086,2016,53.03,58.9,5.87,-,-,-
부안백산,전북 부안군 백산면 오곡리 689-1,126.7881354,35.70560273,2016,5.92,13.42,7.5,5.91,13.42,7.51
부안상서,전북 부안군 상서면 가오리 522-1,126.6769771,35.68588886,2016,6.29,12.79,6.5,6.34,12.81,6.47
부여규암,충남 부여군 규암면 규암리 산12-5,126.8840845,36.27472147,2016,15.83,18.95,3.12,-,-,-
부여부여,충남 부여군 부여읍 쌍북리 449,126.916907,36.29301622,2016,7.06,13.33,6.27,1.95,13.45,11.5
부여양화,충남 부여군 양화면 입포리 60,126.8804223,36.13509918,2016,2.06,5.65,3.59,-,-,-
부여옥산,충남 부여군 옥산면 안서리 368-1,126.733528,36.19157289,2016,21.57,28.73,7.16,-,-,-
부여은산,충남 부여군 은산면 회곡리 97-3,126.8581729,36.32587434,2016,6.84,14.8,7.96,-,-,-
부천옥길,경기 부천시 소사구 옥길동 668,126.8241174,37.47064822,2016,7.96,13.64,5.68,8.07,13.68,5.61
사천곤양,경남 사천시 곤양면 맥사리 217-3,127.9449799,35.05496658,2016,20.79,25.285,4.495,-,-,-
사천사천,경남 사천시 사천읍 구암리 산2-16,128.103787,35.09687372,2016,27.52,41.91,14.39,-,-,-
산청단성,경남 산청군 단성면 남사리 64-1,127.9435329,35.27235859,2016,51.9,57.44,5.54,52.04,57.45,5.41
산청산청,경남 산청군 산청읍 차탄리 산101-4,127.8681926,35.43515328,2016,108.72,116.14,7.42,-,-,-
산청차황,경남 산청군 차황면 법평리 834,127.9564526,35.47804677,2016,461.81,487.328,25.518,-,-,-
삼척가곡,강원 삼척시 가곡면 오저리 629,129.2010009,37.14076624,2016,105.83,111.44,5.61,105.86,111.45,5.59
삼척마평,강원 삼척시 마평동 70,129.1305467,37.43014242,2016,6.59,15.81,9.22,-,-,-
삼척신기,강원 삼척시 신기면 고무릉리 312-12,129.0558085,37.34114148,2016,135.86,138.67,2.81,-,-,-
삼척하장,강원 삼척시 하장면 숙암리 354,128.9645005,37.33940957,2016,670.66,676.06,5.4,-,-,-
상주공성,경북 상주시 공성면 옥산리 254,128.0940718,36.29164535,2016,77.59,82.08,4.49,77.63,82.08,4.45
상주모동,경북 상주시 모동면 수봉리 168-5,127.9452188,36.29495851,2016,225.46,230.79,5.33,-,-,-
상주사벌,경북 상주시 사벌면 원흥리 24-28,128.1962177,36.45920807,2016,48.32,51.94,3.62,-,-,-
상주서문,경북 상주시 서문동 131-1,128.1566134,36.41637891,2016,53.69,55.76,2.07,-,-,-
상주화남,경북 상주시 화남면 평온리 504-2,127.892303,36.44493239,2016,188.09,191.48,3.39,-,-,-
상주화동,경북 상주시 화동면 신촌리 790,127.9516291,36.37175087,2016,248.03,251.53,3.5,-,-,-
서산석남,충남 서산시 석남동 298-14,126.456685,36.75542141,2016,14.67,30.11,15.44,-,-,-
서산운산,충남 서산시 운산면 수당리 400-45,126.5943524,36.81702351,2016,28.11,32.94,4.83,-,-,-
서산팔봉,충남 서산시 팔봉면 어송리 1654-8,126.3451629,36.80715205,2016,2.48,4.67,2.19,-,-,-
서산해미,충남 서산시 해미면 휴암리 144-4,126.5491041,36.70811803,2016,31.64,34.98,3.34,-,-,-
서울마곡,서울 강서구 마곡동 41-86,126.8369224,37.57729382,2016,2.19,9.87,7.68,1.99,9.88,7.89
서울장위,서울 성북구 장위동 270-1,127.0558307,37.61881139,2016,16.57,22.33,5.76,-,-,-
서울항동,서울 구로구 항동 222-13,126.8194259,37.48325204,2016,14.81,19.49,4.68,-,-,-
서천마산,충남 서천군 마산면 신장리 323-11,126.7912394,36.11794963,2016,18.65,25.95,7.3,18.9,25.93,7.03
성남사송,경기 성남시 수정구 사송동 512,127.108685,37.41272293,2016,54.28,59.928,5.648,-,-,-
성주벽진,경북 성주군 벽진면 봉계리 1442-41,128.2351102,35.93848779,2016,44.59,48.47,3.88,44.64,48.42,3.78
세종부강(청원부용),세종특별자치시 부강면 부강리 1149-43,127.3652622,36.52201959,2016,16.63,23.86,7.23,16.54,23.76,7.22
세종조치원(연기조치원),세종특별자치시 조치원읍 평리 12-1,127.3004581,36.60687418,2016,22.78,26.24,3.46,22.85,26.22,3.37
속초노학,강원 속초시 노학동 764-6,128.5464936,38.18683039,2016,11.74,14.28,2.54,11.68,14.3,2.62
수원오목천,경기 수원시 권선구 오목천동 919-6,126.9691121,37.24462459,2016,22.21,26.05,3.84,-,-,-
순창순창,전북 순창군 순창읍 남계리 968-28,127.1482435,35.36782342,2016,81.34,84.82,3.48,81.01,84.72,3.71
순창쌍치,전북 순창군 쌍치면 금평리 811-7,126.9925576,35.49940145,2016,224.63,226.87,2.24,224.26,226.85,2.59
순천상사,전남 순천시 상사면 흘산리 252-22,127.4550579,34.93907854,2016,7.83,15.76,7.93,-,-,-
순천승주,전남 순천시 승주읍 서평리 92-1,127.3898335,35.01438781,2016,122.48,125.13,2.65,-,-,-
순천외서,전남 순천시 외서면 화전리 320-4,127.2774137,34.91378282,2016,197.8,201.69,3.89,197.49,201.71,4.22
순천풍덕,전남 순천시 풍덕동 325-7,127.5083228,34.93743269,2016,2.57,6.3,3.73,2.66,6.44,3.78
순천황전,전남 순천시 황전면 괴목리 51-1,127.4256078,35.08771042,2016,42.94,69.32,26.38,64.69,69.31,4.62
시흥군자,경기 시흥시 군자동 583-2,126.7848743,37.35677511,2016,5.78,11.26,5.48,4.27,11.29,7.02
아산도고,충남 아산시 도고면 시전리 581-37,126.8985345,36.7554115,2016,12.22,17.17,4.95,12.2,17.15,4.95
아산득산,충남 아산시 득산동 394-15,126.9622271,36.78502692,2016,15.91,20.65,4.74,15.97,20.62,4.65
안동길안,경북 안동시 길안면 천지리 731-1,128.8943033,36.45865072,2016,125.08,128.91,3.83,125.13,128.91,3.78
안동녹전,경북 안동시 녹전면 신평리 729,128.7748535,36.7427232,2016,206.84,207.48,0.64,-,-,-
안동와룡,경북 안동시 와룡면 서현리 273-2,128.755417,36.66852339,2016,222.41,224.29,1.88,-,-,-
안동태화,경북 안동시 태화동 570,128.7067153,36.5585296,2016,86.96,94.93,7.97,87.04,94.92,7.88
안산부곡,경기 안산시 상록구 부곡동 산41-9,126.8678702,37.33796119,2016,44.43,73.94,29.51,-,-,-
안성삼죽,경기 안성시 삼죽면 용월리 430-4,127.3787303,37.07751568,2016,107.25,109.44,2.19,107.32,109.44,2.12
안성신모산,경기 안성시 신모산동 105,127.2492152,37.01978435,2016,31.74,61.55,29.81,-,-,-
안양비산,경기 안양시 동안구 비산동 산96-5,126.9454319,37.41045111,2016,41.71,49.73,8.02,-,-,-
