관리_건축물대장_PK,대장_구분_코드,대장_구분_코드_명,대장_종류_코드,대장_종류_코드_명,대지_위치,도로명_대지_위치,건물_명,시군구_코드,법정동_코드,대지_구분_코드,번,지,특수지_명,블록,로트,외필지_수,새주소_도로_코드,새주소_법정동_코드,새주소_지상지하_코드,새주소_본_번,새주소_부_번,동_명,주_부속_구분_코드,주_부속_구분_코드_명,대지_면적(㎡),건축_면적(㎡),건폐_율(%),연면적(㎡),용적_률_산정_연면적(㎡),용적_률(%),구조_코드,구조_코드_명,기타_구조,주_용도_코드,주_용도_코드_명,기타_용도,지붕_코드,지붕_코드_명,기타_지붕,세대_수(세대),가구_수(가구),높이(m),지상_층_수,지하_층_수,승용_승강기_수,비상용_승강기_수,부속_건축물_수,부속_건축물_면적(㎡),총_동_연면적(㎡),옥내_기계식_대수(대),옥내_기계식_면적(㎡),옥외_기계식_대수(대),옥외_기계식_면적(㎡),옥내_자주식_대수(대),옥내_자주식_면적(㎡),옥외_자주식_대수(대),옥외_자주식_면적(㎡),허가_일,착공_일,사용승인_일,허가번호_년,허가번호_기관_코드,허가번호_기관_코드_명,허가번호_구분_코드,허가번호_구분_코드_명,호_수(호),에너지효율_등급,에너지절감_율,에너지_EPI점수,친환경_건축물_등급,친환경_건축물_인증점수,지능형_건축물_등급,지능형_건축물_인증점수,생성_일자,경도,위도
26470-1434,2,집합,3,표제부,부산광역시 연제구 연산동 30-1번지, 부산광역시 연제구 토곡남로 15,대우아파트,26470,10200,0,30,1,,,,0,2.65E+11,10201,0,15,0,102동,0,주건축물,0,365.304,0,4961.68,4961.68,0,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,공동주택,10,(철근)콘크리트,스라브,33,0,48.54,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19960618,19970401,20001023,,,,,,0,,0,0,,0,,0,20170209,129.1050859,35.18092422
26470-17005,1,일반,2,일반건축물,부산광역시 연제구 거제동 1463-45번지, 부산광역시 연제구 거제천로 283-1,,26470,10100,0,1463,45,,,,0,2.65E+11,10101,0,283,1,,0,주건축물,0,84.66,0,148,148,0,12,블록구조,조적조(블럭),1000,단독주택,단독주택,10,(철근)콘크리트,평스라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19800902,,19800916,,,,,,0,,0,0,,0,,0,20170209,129.087984,35.1920802
26470-17872,1,일반,2,일반건축물,부산광역시 연제구 연산동 579-43번지, 부산광역시 연제구 거제천로230번길 9-5,,26470,10200,0,579,43,,,,0,2.65E+11,10201,0,9,5,,0,주건축물,153.6,90.49,58.91,162.94,162.94,106.08,11,벽돌구조,시멘트벽돌,1000,단독주택,단독주택,10,(철근)콘크리트,스라브,3,3,7.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19881102,,19890116,,,,,,0,,0,0,,0,,0,20170209,129.0823504,35.19170868
26470-18562,1,일반,2,일반건축물,부산광역시 연제구 거제동 2-19번지, 부산광역시 연제구 거제대로286번길 14-4,,26470,10100,0,2,19,,,,0,2.65E+11,10101,0,14,4,,0,주건축물,0,96.2,0,163.31,163.31,0,12,블록구조,조적조(블럭),1000,단독주택,단독주택,10,(철근)콘크리트,평스라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19770430,,19770629,,,,,,0,,0,0,,0,,0,20170209,129.0785444,35.19061327
26470-19263,1,일반,2,일반건축물,부산광역시 연제구 연산동 313-9번지, 부산광역시 연제구 연동로8번길 70,,26470,10200,0,313,9,,,,0,2.65E+11,10201,0,70,0,,0,주건축물,166.5,98.96,59.44,260.4,260.4,156.4,19,기타조적구조,"R.C조, 조적조",1000,단독주택,"근린생활시설, 주택",10,(철근)콘크리트,스라브,0,1,9.65,3,0,0,0,0,0,0,0,0,0,0,0,0,2,23,19970712,19970724,19971129,,,,,,0,,0,0,,0,,0,20170209,129.0903,35.19007197
26470-21107,2,집합,3,표제부,부산광역시 연제구 연산동 1320-9번지, 부산광역시 연제구 월드컵대로73번길 61,,26470,10200,0,1320,9,,,,0,2.65E+11,10201,0,61,0,,0,주건축물,190.5,113.92,59.8,534.16,534.16,280.4,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,"공동주택, 근린생활시설",10,(철근)콘크리트,스라브,8,2,14.7,5,0,0,0,0,0,0,0,0,0,0,0,0,4,46,20010404,20010409,20010816,,,,,,2,,0,0,,0,,0,20170209,129.0804651,35.1811262
26470-21272,1,일반,2,일반건축물,부산광역시 연제구 거제동 676-198번지, 부산광역시 연제구 해맞이로 43,,26470,10100,0,676,198,,,,0,2.65E+11,10101,0,43,0,,0,주건축물,0,16.53,0,16.53,16.53,0,51,일반목구조,목조,1000,단독주택,단독주택,20,기와,기와,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20170209,129.0739598,35.18595154
26470-21459,2,집합,3,표제부,부산광역시 연제구 거제동 453-6번지, 부산광역시 연제구 거제시장로14번길 43,동성상가,26470,10100,0,453,6,,,,1,2.65E+11,10101,0,43,0,,0,주건축물,0,1200.33,0,6306.68,5064.53,0,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,"공동주택, 근린생활시설, 운동시설",10,(철근)콘크리트,평스라브,48,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19781110,,19800501,,,,,,111,,0,0,,0,,0,20170209,129.0727745,35.18267162
26470-22021,1,일반,2,일반건축물,부산광역시 연제구 거제동 811-10번지, 부산광역시 연제구 화지로126번나길 23,,26470,10100,0,811,10,,,,0,2.65E+11,10101,0,23,0,,0,주건축물,0,39.17,0,39.17,39.17,0,51,일반목구조,목조,1000,단독주택,단독주택,20,기와,기와,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19650720,,,,,,0,,0,0,,0,,0,20170209,129.0683948,35.18482088
26470-2520,1,일반,2,일반건축물,부산광역시 연제구 연산동 1300번지, 부산광역시 연제구 중앙대로1065번길 14,,26470,10200,0,1300,0,,,,0,2.65E+11,10201,0,14,0,,0,주건축물,0,17.64,0,17.64,17.64,0,11,벽돌구조,벽돌조,3000,제1종근린생활시설,제1종근린생활시설,10,(철근)콘크리트,스라브,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19970214,,,,,,0,,0,0,,0,,0,20170209,129.0785516,35.18425846
